Algoritmo,Tamanho,Tempo,Linguagem
Bubblesort,1,1.049041748046875e-05,Python
Bubblesort,1,1.239776611328125e-05,Python
Bubblesort,1,7.62939453125e-06,Python
Bubblesort,1,1.049041748046875e-05,Python
Bubblesort,1,1.2159347534179688e-05,Python
Bubblesort,1,8.58306884765625e-06,Python
Bubblesort,1,9.5367431640625e-06,Python
Bubblesort,1,6.4373016357421875e-06,Python
Bubblesort,1,4.220008850097656e-05,Python
Bubblesort,1,6.67572021484375e-06,Python
Bubblesort,10,9.012222290039062e-05,Python
Bubblesort,10,2.8371810913085938e-05,Python
Bubblesort,10,4.887580871582031e-05,Python
Bubblesort,10,3.0517578125e-05,Python
Bubblesort,10,4.744529724121094e-05,Python
Bubblesort,10,5.602836608886719e-05,Python
Bubblesort,10,4.982948303222656e-05,Python
Bubblesort,10,2.5510787963867188e-05,Python
Bubblesort,10,2.6226043701171875e-05,Python
Bubblesort,10,4.267692565917969e-05,Python
Bubblesort,100,0.0022094249725341797,Python
Bubblesort,100,0.001359701156616211,Python
Bubblesort,100,0.0013592243194580078,Python
Bubblesort,100,0.001256704330444336,Python
Bubblesort,100,0.0018439292907714844,Python
Bubblesort,100,0.001325845718383789,Python
Bubblesort,100,0.0015943050384521484,Python
Bubblesort,100,0.00193023681640625,Python
Bubblesort,100,0.0013649463653564453,Python
Bubblesort,100,0.0013415813446044922,Python
Bubblesort,1000,0.20635724067687988,Python
Bubblesort,1000,0.17043733596801758,Python
Bubblesort,1000,0.18224072456359863,Python
Bubblesort,1000,0.15124297142028809,Python
Bubblesort,1000,0.14890336990356445,Python
Bubblesort,1000,0.14908981323242188,Python
Bubblesort,1000,0.13641810417175293,Python
Bubblesort,1000,0.13608145713806152,Python
Bubblesort,1000,0.13147497177124023,Python
Bubblesort,1000,0.1300981044769287,Python
Bubblesort,10000,15.918645858764648,Python
Bubblesort,10000,13.836066722869873,Python
Bubblesort,10000,14.01939058303833,Python
Bubblesort,10000,13.413367748260498,Python
Bubblesort,10000,13.900192022323608,Python
Bubblesort,10000,13.560642719268799,Python
Bubblesort,10000,14.902174472808838,Python
Bubblesort,10000,13.709532976150513,Python
Bubblesort,10000,13.744592666625977,Python
Bubblesort,10000,14.082310914993286,Python
Bubblesort,1,1;0.000005;,C
Bubblesort,1,1;0.000006;,C
Bubblesort,1,1;0.000006;,C
Bubblesort,1,1;0.000006;,C
Bubblesort,1,1;0.000006;,C
Bubblesort,1,1;0.000005;,C
Bubblesort,1,1;0.000006;,C
Bubblesort,1,1;0.000007;,C
Bubblesort,1,1;0.000006;,C
Bubblesort,1,1;0.000007;,C
